	chao1	observed_otus	shannon	simpson
T.CS.149	170.125	111.0	3.84303524853	0.804664352288
T.CS.150	156.555555556	134.0	5.41431707985	0.948784406751
T.CS.151	119.153846154	103.0	4.97488686817	0.933113900666
BLANK.A01.049	132.2	105.0	5.89056938637	0.973117828853
BLANK.B01.049	136.75	113.0	5.38007042946	0.946655259536
BLANK.E04.050	108.272727273	91.0	4.15547926572	0.858573279747
BLANK.G12.048	186.75	148.0	5.70401507123	0.957354997301
BLANK.H12.048	142.473684211	118.0	4.68386216911	0.896855250869
CS.116	159.615384615	119.0	5.31825169287	0.953033991232
CS.125	143.071428571	112.0	5.18261054033	0.943557565909
CS.126	176.055555556	137.0	5.4756387952	0.953847065041
CS.127	137.428571429	116.0	5.51134488865	0.965342021218
CS.128	161.615384615	121.0	5.54344721704	0.96175395742
CS.129	175.0	134.0	5.49336195235	0.961482642486
CS.145	180.0	135.0	5.3997663402	0.949063560641
CS.146	147.0	120.0	5.23248459255	0.940485131136
CS.147	141.333333333	122.0	5.40466030266	0.960014144958
CS.148	102.153846154	89.0	4.88290066741	0.946895218651
CS.149	169.625	128.0	5.60709490284	0.968294694182
CS.150	222.666666667	149.0	5.5215717374	0.958766880155
CS.152	188.045454545	161.0	6.00463616832	0.972251624351
CS.166	160.071428571	129.0	5.48253248799	0.955875612337
CS.177	108.5	91.0	4.72138768938	0.928504159763
CS.178	150.0	123.0	5.59054546329	0.966306648152
CS.181	195.75	124.0	5.39572767277	0.956862449643
CS.182	172.15	137.0	5.66187038697	0.967887504031
CS.183	139.076923077	110.0	4.97300551656	0.928842105813
CS.184	125.461538462	92.0	4.64916594747	0.931436364345
CS.186	164.666666667	143.0	5.8185648112	0.968948811408
CS.187	114.125	101.0	5.06510770874	0.944151584481
CS.189	144.055555556	111.0	5.04101721832	0.944680713928
CS.195	174.0	114.0	5.11259848724	0.952149060338
CS.202	117.3125	97.0	4.54034104885	0.909826543528
CS.204	128.647058824	108.0	5.08524081404	0.950924441404
CS.206	160.25	124.0	5.5917798092	0.961059338928
CS.207	128.833333333	95.0	4.86538970339	0.942518033407
CS.208	155.454545455	137.0	5.51516496139	0.95362191284
CS.210	128.333333333	105.0	5.31574362617	0.948703404219
CS.212	135.5	103.0	5.14463066356	0.947243616641
CS.214	164.3	131.0	5.06868715131	0.9393994359
CS.215	139.545454545	110.0	5.31525725488	0.956812802929
CS.216	203.666666667	121.0	5.48845695909	0.960182682486
CS.223	173.12	137.0	5.61382056935	0.966379376233
CS.234	107.272727273	80.0	4.52835472673	0.925704346417
CS.242	173.75	127.0	5.20332571451	0.935572719479
CS.243	141.0	110.0	4.69793514591	0.899182113944
CS.244	118.0	105.0	5.54779546715	0.961069790868
CS.245	153.8	101.0	4.74614192765	0.927811718758
CS.246	166.75	139.0	5.2271842452	0.939623717106
CS.252	182.375	143.0	5.83309390215	0.968957521357
CS.253	79.0	69.0	4.44105526533	0.923822997272
CS.254	168.214285714	135.0	5.53864532256	0.957031858165
CS.255	158.0	125.0	5.54925892454	0.963925783389
CS.256	134.4	111.0	5.10063634436	0.94557479027
CS.257	151.894736842	129.0	5.3324421101	0.946081273848
CS.258	191.375	152.0	5.97713231873	0.972114007145
CS.261	168.0625	139.0	5.65203022125	0.958432853582
CS.262	148.25	112.0	5.23279189488	0.953153317544
CS.263	173.5	118.0	4.60209259484	0.895301831332
CS.264	147.055555556	114.0	4.178856533	0.867184371563
CS.265	168.954545455	153.0	5.82676925171	0.965369893057
CS.267	97.5	80.0	4.66514730508	0.937207141549
CS.268	146.235294118	124.0	5.61082236894	0.966910683167
CS.270	129.230769231	108.0	5.35947516808	0.960499289159
CS.272	132.0	107.0	4.90203713541	0.928998449411
CS.276	143.111111111	115.0	5.59940770134	0.966644594202
CS.277	141.714285714	125.0	5.60531784385	0.967278678544
CS.278	129.0	114.0	5.13382780161	0.945893574431
CS.280	153.833333333	120.0	5.48611954575	0.960352091009
CS.281	186.571428571	128.0	5.03134927814	0.924959210217
CS.287	143.055555556	129.0	5.75366596189	0.968815113679
CS.288	154.066666667	121.0	5.59456295797	0.966186450846
CS.303	152.0625	123.0	5.38257674614	0.954872226126
CS.304	134.066666667	101.0	4.89019834521	0.94248798408
CS.306	208.4	167.0	6.12938249371	0.976619228651
CS.307	121.4	110.0	5.17206896361	0.942565067135
CS.309	172.176470588	133.0	5.40942121145	0.955887806266
CS.313	174.8	150.0	5.93404058302	0.970337177397
CS.314	214.75	143.0	5.62147065911	0.959233733461
CS.316	118.176470588	107.0	5.09872881055	0.943388157386
CS.320	133.0	113.0	5.38957242997	0.960522370526
CS.323	155.714285714	139.0	5.83482266846	0.971436373055
CS.326	129.55	112.0	5.24981503581	0.958405852738
CS.327	142.0	107.0	4.68240079092	0.930801409009
CS.329	125.230769231	104.0	5.22567452821	0.950164933786
CS.330	148.5	116.0	5.40689826483	0.955199284739
CS.331	169.058823529	132.0	5.41864269102	0.9525196687
CS.336	147.0	127.0	5.72069074098	0.969840710262
CS.337	127.142857143	91.0	4.73986961508	0.9331426435
CS.338	158.769230769	123.0	5.27666721828	0.947440897003
CS.344	197.230769231	131.0	5.67453657396	0.970860645377
CS.348	168.1	112.0	5.36607278351	0.962548304837
CS.349	225.0	139.0	5.71609618414	0.965898587007
CS.354	144.071428571	113.0	5.01999624521	0.926077567764
CS.359	110.272727273	83.0	4.64316601957	0.937668333388
CS.361	124.588235294	111.0	5.15259044651	0.946397445023
CS.363	144.9375	123.0	5.62666679499	0.967624899046
CS.364	87.7142857143	78.0	4.7016092012	0.943138181828
CS.367	89.5714285714	76.0	4.74726703223	0.944108905728
CS.368	194.214285714	144.0	5.6268432158	0.959221975029
CS.369	105.5625	96.0	4.7824655306	0.936913616243
CS.370	158.25	122.0	5.48838666078	0.960359929963
CS.371.1	133.352941176	106.0	4.62813826447	0.907299787107
CS.372	149.0625	120.0	5.57972497377	0.966876278866
CS.373	155.0	120.0	5.03716960118	0.928420544246
CS.374	141.4	115.0	5.4022694186	0.961366800154
CS.375	145.5	114.0	5.01915912496	0.942246282975
CS.376	186.375	112.0	5.29892337463	0.953081895956
CS.377	193.4375	137.0	5.75895945221	0.972033004613
CS.378	130.6	100.0	5.42968843999	0.964864280474
CS.381	176.0625	141.0	5.90836988457	0.973748429215
CS.385	146.214285714	123.0	5.56817371797	0.963339603771
CS.386	104.5	88.0	4.47405413977	0.912124228271
CS.387	150.2	125.0	5.62059754085	0.967492943308
CS.389	125.272727273	98.0	5.1828766904	0.957215638105
CS.390	141.461538462	108.0	5.2613761475	0.958969821984
CS.391	163.176470588	134.0	5.73625158068	0.969993134382
CS.393	134.555555556	112.0	5.15540298126	0.948697307254
CS.395	158.833333333	133.0	5.79333203099	0.972352659768
CS.500	218.857142857	113.0	4.88667452516	0.932691903601
L.001.M0	132.0	114.0	4.84733192983	0.907875079288
L.001.M3	130.8	117.0	4.78868306228	0.882210341367
L.001.M4	85.5454545455	76.0	4.32241640773	0.910879140955
L.001.M5	179.315789474	134.0	5.04385088548	0.933021575199
L.001.M6	135.315789474	122.0	5.65116284728	0.956166524658
L.002.M0	135.0	117.0	5.3559180469	0.960662600717
L.002.M2	197.333333333	115.0	4.32602066999	0.859216945033
L.002.M4	147.789473684	132.0	5.37232773799	0.945188503999
L.002.M5	114.769230769	97.0	5.13916333781	0.951322486107
L.002.M6.0	147.142857143	125.0	5.36842810517	0.956768382186
L.003.M0	148.647058824	131.0	5.54866511446	0.961094178727
L.003.M2	122.5	106.0	5.09926067026	0.945786006551
L.003.M4	215.333333333	133.0	5.58669084008	0.959619148737
L.003.M5	149.909090909	113.0	5.24824241172	0.952819726468
L.003.M6	148.769230769	113.0	5.31646307761	0.960577243209
L.022.M2	152.545454545	143.0	6.09666022615	0.977500675565
L.022.M3	142.5	123.0	5.22888104671	0.943191748019
L.022.M4	141.55	130.0	5.6755217097	0.966015735831
L.022.M5	168.769230769	133.0	5.8933692018	0.974820624029
L.022.M6	140.555555556	130.0	5.76309216036	0.967820001921
L.024.M2	144.588235294	119.0	5.13952448097	0.947159130129
L.024.M5	144.1875	117.0	5.1204438844	0.941891352522
L.024.M6	159.583333333	110.0	4.69394128254	0.92708530895
L.031.M0	159.545454545	120.0	4.98690836687	0.935694658776
L.031.M1	178.0	154.0	5.95752776131	0.972930564934
L.031.M2	181.875	151.0	5.54058200994	0.948488703957
L.031.M3	172.791666667	148.0	5.66649404198	0.961156454868
L.031.M4	208.526315789	161.0	5.58014615026	0.949620126429
L.031.M5	153.076923077	124.0	5.44731626137	0.955647411653
L.031.M6	174.75	126.0	5.20265491565	0.947838506209
L.032.M0	170.571428571	123.0	5.37455015494	0.96175221543
L.032.M1	154.0	127.0	5.27054469584	0.946424881365
L.032.M2	136.0	107.0	4.90011118865	0.937315144926
L.032.M3	117.75	99.0	4.49316019847	0.913081451748
L.032.M4	151.588235294	108.0	3.61646696904	0.824156784321
L.032.M5	128.352941176	101.0	4.70665854842	0.915730147466
L.032.M6	144.0	113.0	5.14819976483	0.949800422389
L.033.M0	153.0	122.0	5.42133828374	0.957915918065
L.033.M1	134.214285714	111.0	5.24798342228	0.952204368519
L.033.M2	162.153846154	124.0	5.39308056268	0.952724788016
L.033.M3	136.230769231	105.0	4.7076312588	0.905733302645
L.033.M4	143.3	123.0	5.10530041429	0.930717357994
L.033.M5	110.352941176	98.0	4.98677660895	0.941472839437
L.033.M6	140.0	111.0	5.01940423227	0.938687397508
L.034.M0	155.166666667	131.0	5.7076881404	0.963968026645
L.034.M1	175.2	140.0	5.84054703452	0.969764933699
L.034.M2	153.076923077	130.0	5.63956887457	0.963330022827
L.034.M3	142.285714286	128.0	5.46283303609	0.95429606295
L.034.M4	147.0	118.0	5.2579363692	0.95019541861
L.034.M5	173.714285714	136.0	5.7616794111	0.967377536473
L.034.M6	158.0	133.0	5.79529686198	0.966834035609
L.035.M0	148.058823529	117.0	4.83215061907	0.923150153654
L.035.M1	143.625	112.0	5.37994932822	0.957329738447
L.035.M2	118.0	83.0	4.53530329883	0.916771857456
L.035.M5.1	116.333333333	93.0	4.81534293523	0.927087050939
L.035.M5	105.461538462	95.0	4.96946688433	0.937809434574
L.035.M6	118.866666667	102.0	4.67410751216	0.912343283507
L.036.M0	143.625	134.0	5.52435026288	0.947419122129
L.036.M1	162.909090909	131.0	5.53208472261	0.95275875682
L.036.M2	155.833333333	122.0	5.42560598222	0.956522761603
L.036.M3	140.526315789	126.0	5.56957322872	0.960155681642
L.036.M4	135.352941176	123.0	5.51537774473	0.958306123813
L.036.M5	181.0	146.0	5.93883238431	0.97040946998
L.036.M6	157.071428571	126.0	5.43453689772	0.957020970728
T.CS.001	197.5	104.0	4.94592613389	0.932897458415
T.CS.002	154.615384615	114.0	5.28212298018	0.956293254427
T.CS.005	144.25	128.0	5.31012198665	0.943912060863
T.CS.011	113.583333333	106.0	5.41485378438	0.960702230988
T.CS.012	125.0	104.0	5.17696948326	0.948354570731
T.CS.016	152.461538462	119.0	5.53796680554	0.967063107288
T.CS.017	180.75	151.0	5.54898856804	0.949932813625
T.CS.019	123.055555556	105.0	4.50188378941	0.902560267953
T.CS.021	184.0	133.0	5.71330738386	0.969992698885
T.CS.022	152.368421053	131.0	5.57906403625	0.955869950869
T.CS.024	200.583333333	142.0	5.50812763837	0.953371937282
T.CS.025	161.333333333	120.0	5.40581253033	0.961101582184
T.CS.026	119.142857143	83.0	4.83320970494	0.949465960319
T.CS.027	161.333333333	132.0	5.32240693625	0.949676741103
T.CS.028	181.5	129.0	5.37103478336	0.954649251412
T.CS.029	186.105263158	160.0	5.97155816326	0.967627512031
T.CS.031	155.833333333	130.0	5.28901199447	0.939983873528
T.CS.032	175.166666667	134.0	5.28251031006	0.951201853303
T.CS.033	174.142857143	137.0	5.56175804739	0.960364720436
T.CS.034	133.0	110.0	5.04837488766	0.938322886112
T.CS.035	157.352941176	130.0	5.39577701887	0.947261036541
T.CS.036	174.2	139.0	5.61727040708	0.960777572054
T.CS.037	146.05	118.0	5.07660379169	0.944151148984
T.CS.038	163.2	138.0	5.70904861572	0.966108496796
T.CS.039	185.9375	142.0	5.26605418537	0.944108034733
T.CS.040	186.3125	140.0	5.46019165654	0.954951486669
T.CS.041	169.0	136.0	5.36825097767	0.946362605224
T.CS.044	182.8125	129.0	5.28947276758	0.950619593163
T.CS.046	187.0	130.0	5.39261190245	0.956663862789
T.CS.048	150.588235294	125.0	5.63041967718	0.967838292815
T.CS.050	139.714285714	119.0	4.91713845893	0.92794149701
T.CS.052	142.428571429	121.0	5.65804300867	0.970269239789
T.CS.053	127.055555556	113.0	5.21577643876	0.950433200238
T.CS.054	164.5	109.0	4.75118623861	0.92304519876
T.CS.055	133.652173913	116.0	5.27277195152	0.955100862307
T.CS.056	121.647058824	101.0	4.56064072444	0.899322344135
T.CS.057	126.647058824	109.0	5.53644733467	0.968360454302
T.CS.058	160.111111111	115.0	5.20847892998	0.947014109465
T.CS.059	155.6	137.0	5.45756143607	0.957045794085
T.CS.062	154.2	129.0	5.42589053312	0.944100631275
T.CS.063	184.526315789	137.0	5.11405461788	0.928848202778
T.CS.064	174.9375	131.0	5.04267651065	0.92706440507
T.CS.066	158.142857143	133.0	5.54526135361	0.954819966427
T.CS.068	162.3125	116.0	4.89332928268	0.922352757755
T.CS.072	183.0	139.0	5.66996340053	0.963790343671
T.CS.074	163.333333333	135.0	5.21906076185	0.938820659739
T.CS.075	149.647058824	129.0	5.28947496444	0.932391410335
T.CS.076	150.473684211	132.0	5.77767771494	0.971006537035
T.CS.077	182.3	135.0	5.25853800701	0.944303137607
T.CS.078	124.875	113.0	5.18989049704	0.924388708508
T.CS.079	132.333333333	109.0	5.39587624569	0.959444078748
T.CS.080	131.789473684	116.0	5.19974332189	0.946927880963
T.CS.082	182.076923077	119.0	4.8077932027	0.921808821394
T.CS.085	151.526315789	122.0	5.08710970517	0.935935924384
T.CS.086	173.157894737	140.0	5.45175553224	0.953300080197
T.CS.091	172.1875	135.0	5.64278862193	0.963322619369
T.CS.101	146.6	106.0	5.05600616335	0.946391348059
T.CS.102	181.157894737	138.0	5.301828094	0.948764809364
T.CS.103	175.217391304	143.0	5.76912010273	0.968796822785
T.CS.104	176.0	137.0	5.51084276363	0.961519224274
T.CS.105	215.454545455	162.0	5.91033881784	0.973346465034
T.CS.106	150.714285714	134.0	5.57971635187	0.960567662265
T.CS.107	133.083333333	106.0	5.04328397851	0.93839082372
T.CS.108	157.625	134.0	5.89543075175	0.975549646822
T.CS.109	164.368421053	143.0	5.88126844596	0.970051926543
T.CS.110	178.1875	141.0	5.75802641029	0.968350873358
