"AR3"	"BB2"	"BF1"	"BF2"	"BP1"	"BZ1"	"CA1"	"CA2"	"CC1"	"CF1"	"CF2"	"CF3"	"CL1"	"CL2"	"CL3"	"CL4"	"CM1"	"CO1"	"CO2"	"CO3"	"CR1"	"DF1"	"DF2"	"DF3"	"GB1"	"GB2"	"GB3"	"GB5"	"HF1"	"HF2"	"HI1"	"HI2"	"HI3"	"HI4"	"HJ1"	"HJ2"	"IE1"	"IE2"	"IT1"	"IT2"	"JT1"	"KP1"	"KP3"	"KP4"	"LQ1"	"LQ2"	"LQ3"	"MD2"	"MD3"	"MD4"	"MD5"	"MP1"	"MP2"	"MT1"	"MT2"	"PE1"	"PE2"	"PE3"	"PE4"	"PE5"	"PE6"	"PE7"	"RT1"	"RT2"	"SA1"	"SA2"	"SB1"	"SF1"	"SF2"	"SK1"	"SK2"	"SK3"	"SN1"	"SN3"	"SP1"	"SP2"	"SR1"	"SR2"	"SR3"	"SV1"	"SV2"	"TL1"	"TL2"	"AR1"	"AR2"	"TL3"	"VC1"	"VC2"
"1124701"	0	0	0	0	0.0105485232067511	0	0.00390243902439024	0.0211019929660023	0.00123915737298637	0	0	0	0.000893655049151028	0	0	0	0.000810372771474878	0.00089126559714795	0.00180831826401447	0.017274472168906	0.000938967136150235	0	0	0	0.00701480904130943	0.00253164556962025	0.0019047619047619	0.00136986301369863	0	0	0	0	0	0	0	0.00185356811862836	0	0.00790861159929701	0	0	0	0.00178890876565295	0	0.0021551724137931	0	0	0	0.00196850393700787	0.00127388535031847	0	0.000902527075812274	0	0	0.00207684319833853	0	0	0	0	0	0	0	0	0	0.00114285714285714	0.00360576923076923	0.00554323725055432	0.00242522231204527	0.0090311986863711	0.00314465408805031	0	0	0	0	0.00221729490022173	0	0	0.00339750849377123	0.00610500610500611	0.00112994350282486	0.00468933177022274	0.0097799511002445	0	0.00393313667649951	0	0	0	0.000907441016333938	0.00583090379008746
"244331"	0.000965250965250965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021953896816685	0	0.000779423226812159	0	0.00285714285714286	0	0	0	0	0.00319488817891374	0	0	0	0.00092678405931418	0	0.000878734622144112	0	0	0	0	0	0.00538793103448276	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00079428117553614	0	0	0	0.0030241935483871	0.00110497237569061	0.00114285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00117233294255569	0	0	0	0	0.0201342281879195	0	0	0
"114076"	0	0	0	0	0	0	0.00195121951219512	0	0	0	0	0	0	0	0	0	0.00162074554294976	0	0	0	0	0	0	0	0.00155884645362432	0.000843881856540084	0	0	0	0	0	0.00106496272630458	0	0	0	0	0	0	0	0	0	0.000894454382826476	0.00118623962040332	0.00107758620689655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00120192307692308	0	0	0	0	0	0	0	0	0	0	0	0.00226500566251416	0	0.00112994350282486	0	0.00122249388753056	0	0	0.00108342361863489	0	0	0	0
"511344"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00073909830007391	0	0	0.00089126559714795	0	0	0	0.00267618198037467	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00092678405931418	0	0	0.00491642084562439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000808407437348424	0	0	0	0	0	0	0	0	0	0	0	0.00112994350282486	0	0	0	0	0	0	0	0	0.000971817298347911
"308017"	0	0	0.000760456273764259	0	0.00105485232067511	0	0	0.00117233294255569	0.00247831474597274	0.00152788388082506	0	0	0	0	0	0	0.000810372771474878	0	0	0	0	0	0	0	0	0.000843881856540084	0	0.00958904109589041	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00268336314847943	0.00118623962040332	0	0	0	0	0	0	0	0	0	0	0.00415368639667705	0	0	0	0.00158856235107228	0	0	0	0	0.00110497237569061	0	0	0.00110864745011086	0.00323362974939369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00194363459669582
"1033426"	0	0	0	0	0	0	0	0	0.00123915737298637	0	0	0	0	0.00107296137339056	0	0	0	0	0	0	0	0	0.00109769484083425	0	0	0	0	0	0	0	0	0	0.000999000999000999	0	0	0	0	0	0.00589970501474926	0.00295275590551181	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103842159916926	0.00474308300395257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100502512562814	0	0.00226500566251416	0	0	0	0	0	0	0	0	0	0	0
"151955"	0	0.000863557858376511	0.000760456273764259	0.00165016501650165	0	0	0	0	0	0.00152788388082506	0.0127326150832517	0.000999000999000999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000733137829912023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103199174406605	0	0.00158856235107228	0	0	0	0	0	0	0	0	0	0	0	0	0.00198807157057654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"151957"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00214362272240086	0	0	0	0	0	0	0	0	0	0.00183823529411765	0	0.00079428117553614	0	0.0077720207253886	0.00873362445414847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4357677"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0071301247771836	0.00723327305605787	0	0	0.00267618198037467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00295275590551181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00632411067193676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184162062615101	0	0.00099403578528827	0.000918273645546373	0.00332594235033259	0	0	0	0	0	0	0	0	0	0	0	0.00171086398631309	0.00453720508166969	0
"776288"	0	0	0	0	0.00105485232067511	0	0.00195121951219512	0.00117233294255569	0	0	0	0	0.000893655049151028	0	0	0	0.000810372771474878	0	0	0	0	0	0	0	0	0	0.00476190476190476	0.00273972602739726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00240384615384615	0.00776053215077605	0	0	0	0	0.0034324942791762	0	0	0	0	0	0	0	0	0	0	0	0	0.00108342361863489	0	0	0	0
