"","SeqID","Rep","System","Collection","Organ"
"WPC2FD22B06C","WPC2FD22B06C","Two","Pen","D22","Cecum"
"WPC2FD22B07C","WPC2FD22B07C","Two","Pen","D22","Cecum"
"WPC2FD22B08C","WPC2FD22B08C","Two","Pen","D22","Cecum"
"WPC2FD22B09C","WPC2FD22B09C","Two","Pen","D22","Cecum"
"WPC2FD22B10C","WPC2FD22B10C","Two","Pen","D22","Cecum"
"WPC2FD29B01C","WPC2FD29B01C","Two","Pen","D29","Cecum"
"WPC2FD29B02C","WPC2FD29B02C","Two","Pen","D29","Cecum"
"WPC2FD29B03C","WPC2FD29B03C","Two","Pen","D29","Cecum"
"WPC2FD29B04C","WPC2FD29B04C","Two","Pen","D29","Cecum"
"WPC2FD29B05C","WPC2FD29B05C","Two","Pen","D29","Cecum"
"WPC2FD29B06C","WPC2FD29B06C","Two","Pen","D29","Cecum"
"WPC2FD29B07C","WPC2FD29B07C","Two","Pen","D29","Cecum"
"WPC2FD29B08C","WPC2FD29B08C","Two","Pen","D29","Cecum"
"WPC2FD29B09C","WPC2FD29B09C","Two","Pen","D29","Cecum"
"WPC2FD29B10C","WPC2FD29B10C","Two","Pen","D29","Cecum"
"WPC2FHBD01B02C","WPC2FHBD01B02C","Two","Hatch_Brood","D01","Cecum"
"WPC2FHBD01B03C","WPC2FHBD01B03C","Two","Hatch_Brood","D01","Cecum"
"WPC2FHBD01B05C","WPC2FHBD01B05C","Two","Hatch_Brood","D01","Cecum"
"WPC2FHBD01B06C","WPC2FHBD01B06C","Two","Hatch_Brood","D01","Cecum"
"WPC2FHBD01B10C","WPC2FHBD01B10C","Two","Hatch_Brood","D01","Cecum"
"WPC2FHBD04B01C","WPC2FHBD04B01C","Two","Hatch_Brood","D04","Cecum"
"WPC2FHBD04B02C","WPC2FHBD04B02C","Two","Hatch_Brood","D04","Cecum"
"WPC2FHBD04B03C","WPC2FHBD04B03C","Two","Hatch_Brood","D04","Cecum"
