"GN01P"	"GN01P.o"	"GN02P"	"GN02P.o"	"GN03P"	"GN03P.o"	"GN04P"	"GN04P.o"	"GN05P"	"GN05P.o"	"GN06P"	"GN06P.o"	"GN07P"	"GN07P.o"	"GN08P"	"GN08P.o"	"GN09P"	"GN09P.o"
"3159253"	0	0	0	0	0	0	0.00782361308677098	0.0143769968051118	0.100623330365093	0.0938104448742747	0.0538720538720539	0.0715579710144928	0.028685790527018	0.0424908424908425	0.0156826568265683	0.0151658767772512	0.00907258064516129	0.0141843971631206
"4458243"	0.00890019071837254	0.0066626287098728	0.0097323600973236	0.0120634920634921	0.0123188405797101	0.00919540229885057	0.0170697012802276	0.0287539936102236	0.00178094390026714	0	0.000841750841750842	0.00271739130434783	0.00066711140760507	0.00146520146520147	0	0	0	0
"4345229"	0	0	0	0.000634920634920635	0.00289855072463768	0.00229885057471264	0.00142247510668563	0.0023961661341853	0	0	0.00252525252525253	0	0	0.00146520146520147	0	0	0	0
"3054729"	0.0108073744437381	0.0145366444579043	0.00851581508515815	0.00888888888888889	0.00217391304347826	0.00153256704980843	0.00142247510668563	0.000798722044728434	0	0	0	0	0	0	0	0	0	0
"4375516"	0	0	0.000608272506082725	0.000634920634920635	0	0	0	0.000798722044728434	0	0	0	0	0	0	0	0	0	0
"650924"	0.000635727908455181	0	0.00121654501216545	0.000634920634920635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"100167"	0	0	0.000608272506082725	0	0	0	0.000711237553342817	0	0	0.000967117988394584	0	0	0	0	0.000922509225092251	0.000947867298578199	0	0
"4326077"	0	0	0	0	0	0	0	0	0	0	0	0	0.00867244829886591	0	0.000922509225092251	0	0	0
"4396197"	0	0	0	0.000634920634920635	0.00072463768115942	0.000766283524904215	0	0	0	0	0	0	0	0	0	0	0	0
"813020"	0.000635727908455181	0	0.00182481751824818	0.000634920634920635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2600252"	0	0	0	0	0	0	0	0	0	0	0	0	0.00066711140760507	0	0.0018450184501845	0	0.00100806451612903	0
"2175243"	0	0	0	0	0.00217391304347826	0	0	0.000798722044728434	0	0	0	0	0	0	0	0	0	0
"4353189"	0	0.000605693519079346	0.0024330900243309	0	0.00144927536231884	0.00153256704980843	0.00213371266002845	0.000798722044728434	0.00267141585040071	0.00386847195357834	0.000841750841750842	0.00271739130434783	0.00466977985323549	0.00805860805860806	0.0138376383763838	0.0180094786729858	0.00604838709677419	0.0060790273556231
"4454539"	0	0	0	0	0.00072463768115942	0	0	0.00159744408945687	0.000890471950133571	0	0	0	0	0.00146520146520147	0	0	0	0
"4450673"	0	0	0	0	0	0	0	0	0.000890471950133571	0.00290135396518375	0.00168350168350168	0.00271739130434783	0.00066711140760507	0.0021978021978022	0.00276752767527675	0.000947867298578199	0	0.00202634245187437
"3553018"	0	0	0	0	0	0	0	0.000798722044728434	0.000890471950133571	0	0	0	0	0	0	0.000947867298578199	0	0.00303951367781155
"4334258"	0	0	0	0.000634920634920635	0.00072463768115942	0.000766283524904215	0.000711237553342817	0.00159744408945687	0	0	0	0	0	0	0	0	0	0
"4342133"	0	0	0	0.000634920634920635	0.00289855072463768	0.00153256704980843	0	0	0	0	0	0	0	0	0	0	0	0
"4388198"	0	0	0	0	0	0	0	0	0	0	0	0	0.00133422281521014	0	0	0	0.00100806451612903	0.00101317122593718
"254296"	0.000635727908455181	0.000605693519079346	0	0	0	0	0	0	0	0	0.000841750841750842	0	0	0	0	0	0	0
"2397963"	0	0	0	0	0	0	0	0	0	0	0	0.000905797101449275	0	0	0	0	0	0.00202634245187437
"4348732"	0	0	0.000608272506082725	0.00253968253968254	0.00289855072463768	0.00153256704980843	0	0	0	0	0	0	0	0	0	0	0	0
"4395245"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018450184501845	0	0	0
"236814"	0	0	0	0	0.00289855072463768	0.00459770114942529	0	0.000798722044728434	0	0	0	0	0	0	0	0	0	0
"4415681"	0	0	0	0	0	0	0	0	0	0	0.000841750841750842	0	0.00066711140760507	0	0	0.000947867298578199	0	0
"2719297"	0	0	0	0	0.00072463768115942	0	0	0	0.00534283170080142	0.00386847195357834	0.00252525252525253	0.000905797101449275	0.00533689126084056	0.0043956043956044	0.003690036900369	0.0028436018957346	0.00806451612903226	0.00911854103343465
"3420269"	0	0	0.000608272506082725	0	0	0	0	0	0	0	0	0	0.00133422281521014	0	0	0.000947867298578199	0	0
"2799224"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000947867298578199	0	0.00101317122593718
"4470360"	0.000635727908455181	0	0.00304136253041363	0.000634920634920635	0.00144927536231884	0.00153256704980843	0.000711237553342817	0.000798722044728434	0.006233303650935	0.00676982591876209	0	0.0036231884057971	0.00200133422281521	0.00512820512820513	0	0.000947867298578199	0	0.00101317122593718
"2140550"	0	0	0	0	0	0	0.000711237553342817	0	0.00178094390026714	0.00580270793036751	0.000841750841750842	0.00181159420289855	0	0.0021978021978022	0.000922509225092251	0.000947867298578199	0.0030241935483871	0
"1852196"	0.000635727908455181	0.00121138703815869	0	0	0.00072463768115942	0	0	0	0	0	0	0	0	0	0	0	0	0
"2518948"	0.00127145581691036	0.00363416111447608	0.000608272506082725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2293453"	0	0	0	0	0	0	0	0	0	0.000967117988394584	0	0.000905797101449275	0.00066711140760507	0.000732600732600733	0	0	0	0.00303951367781155
"4376643"	0	0	0	0	0.00579710144927536	0.00613026819923372	0.00213371266002845	0.00399361022364217	0.00356188780053428	0.00580270793036751	0.00925925925925926	0.0126811594202899	0.00600400266844563	0.00586080586080586	0	0	0	0.00405268490374873
"4389650"	0	0	0	0	0	0	0	0	0	0	0	0	0.00133422281521014	0	0	0.000947867298578199	0	0
"2207590"	0	0.000605693519079346	0.00121654501216545	0.000634920634920635	0.00289855072463768	0.00153256704980843	0.000711237553342817	0	0.000890471950133571	0	0	0	0	0.000732600732600733	0	0.000947867298578199	0	0
"2334840"	0	0	0	0	0	0	0	0.000798722044728434	0	0	0	0	0	0	0.0018450184501845	0	0	0
"4454222"	0	0	0	0	0	0	0	0.000798722044728434	0.00178094390026714	0.00483558994197292	0.00336700336700337	0.0036231884057971	0.00466977985323549	0.00293040293040293	0.0018450184501845	0.004739336492891	0.0030241935483871	0.00810536980749747
"2559172"	0	0	0	0	0.00144927536231884	0	0.000711237553342817	0.00319488817891374	0	0	0.00336700336700337	0	0.00066711140760507	0.000732600732600733	0.000922509225092251	0	0	0
"2678595"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000922509225092251	0	0.00806451612903226	0.00303951367781155
"4382804"	0.00635727908455181	0.00423985463355542	0	0.000634920634920635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4436898"	0	0	0	0	0	0	0	0	0	0.00193423597678917	0	0	0	0	0	0	0.00100806451612903	0
"4457131"	0	0	0	0	0.00144927536231884	0.000766283524904215	0	0.00159744408945687	0	0	0	0	0	0	0	0	0	0
"4333145"	0.00254291163382072	0.00121138703815869	0.000608272506082725	0.000634920634920635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2659543"	0	0	0.000608272506082725	0.000634920634920635	0	0.000766283524904215	0	0.000798722044728434	0	0	0	0	0	0	0	0	0	0
"1665650"	0	0	0	0	0.00072463768115942	0	0.000711237553342817	0.000798722044728434	0	0	0	0	0	0	0	0	0	0
"1665651"	0.000635727908455181	0	0.000608272506082725	0	0.00072463768115942	0.000766283524904215	0	0	0	0	0	0	0	0	0	0	0	0
"4477870"	0	0.00181708055723804	0.00121654501216545	0.000634920634920635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1686480"	0	0	0.000608272506082725	0.00126984126984127	0	0.000766283524904215	0	0	0	0	0	0	0	0	0	0	0	0
"1557344"	0	0.000605693519079346	0.00121654501216545	0.000634920634920635	0	0	0.00142247510668563	0	0	0	0	0	0	0	0	0	0.00100806451612903	0
