"GN01P"	"GN01P.o"	"GN02P"	"GN02P.o"	"GN03P"	"GN03P.o"	"GN04P"	"GN04P.o"	"GN05P"	"GN05P.o"	"GN06P"	"GN06P.o"	"GN07P"	"GN07P.o"	"GN08P"	"GN08P.o"	"GN09P"	"GN09P.o"
"4389650"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
"2207590"	0	1	2	1	4	2	1	0	1	0	0	0	0	1	0	1	0	0
"2334840"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
"4454222"	0	0	0	0	0	0	0	1	2	5	4	4	7	4	2	5	3	8
"2559172"	0	0	0	0	2	0	1	4	0	0	4	0	1	1	1	0	0	0
"2678595"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	3
"4382804"	10	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4436898"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
"4457131"	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0
"4333145"	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2659543"	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"1665650"	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
"1665651"	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"4477870"	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1686480"	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"1557344"	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0
"4410802"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"4464720"	59	57	28	28	52	48	27	41	0	0	0	0	0	0	0	2	0	0
"2823832"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"2724065"	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"4372784"	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
"4454780"	0	0	15	15	35	19	16	9	6	4	8	5	13	9	1	0	0	1
"4387271"	22	20	15	14	5	3	11	13	0	3	2	4	0	0	0	0	0	0
"4454030"	2	0	0	0	1	0	0	2	1	0	0	0	0	1	0	1	0	0
"159384"	0	0	0	0	0	0	0	0	3	3	0	1	0	0	2	3	2	0
"3037672"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1
"3180820"	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
"296379"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4396183"	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
"1544503"	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0
"4448860"	0	0	2	0	0	0	0	0	0	1	0	0	1	0	7	6	6	3
"3722999"	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"3774731"	2	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"4437677"	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4364586"	2	1	4	0	0	0	0	1	7	4	2	2	0	2	0	0	0	0
"3869470"	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
"4441273"	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
"4364960"	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0
"2797090"	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"1519447"	1	0	2	2	1	1	3	2	0	0	0	0	0	0	0	0	0	0
"2080449"	0	0	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
"1951956"	5	1	2	2	0	0	13	5	1	1	0	3	0	0	0	0	0	0
"1837503"	0	0	0	3	2	2	0	2	0	0	0	0	0	0	0	0	0	0
"4428182"	0	4	80	82	85	97	105	93	46	33	42	37	34	26	0	0	0	0
"2571250"	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0
"159360"	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0
"4475322"	0	0	0	0	0	0	0	0	1	2	1	0	3	1	1	2	0	0
"4460944"	0	0	0	0	0	0	0	0	0	1	1	0	1	2	5	1	0	4
"4140869"	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
"3597094"	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"2044027"	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	3	1	2
"4423696"	0	0	1	1	2	0	0	0	1	1	0	0	2	4	2	1	0	0
"4374122"	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"4403951"	0	0	0	1	5	3	2	2	6	0	4	5	4	4	0	0	0	0
"4460895"	8	10	9	7	12	12	3	0	1	4	6	0	1	2	0	0	0	0
"3394011"	0	0	0	0	0	0	1	1	3	1	2	2	1	2	0	0	0	0
"4061593"	1	7	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
"4411082"	77	75	52	59	33	23	5	4	4	3	4	8	3	3	0	0	0	0
"4447431"	1	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"3007335"	1	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4325391"	0	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0
"4340928"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"4304337"	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
"4369084"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1
"2990720"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1
"4000475"	0	0	0	0	0	0	0	1	0	1	2	1	10	3	2	5	1	2
"3593081"	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"4412514"	0	0	0	0	1	0	4	2	7	0	0	5	5	10	1	1	0	0
"237518"	0	0	0	0	2	2	6	3	9	9	9	11	4	4	5	3	2	3
"3584396"	9	12	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3744356"	6	5	16	12	8	6	0	1	0	0	0	0	1	0	1	2	0	0
"4390260"	0	0	0	0	6	5	5	2	0	1	6	4	4	2	0	0	0	0
"4466624"	0	0	1	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0
"3846383"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"4480469"	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0
"4011339"	0	0	0	0	1	0	0	0	0	0	2	2	2	0	2	2	1	0
"2510497"	0	0	0	0	1	0	0	0	0	0	2	0	6	1	1	1	1	2
"4369662"	4	10	2	1	3	2	0	1	0	0	0	0	4	0	2	0	0	0
"1911094"	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0
"1840264"	1	4	0	2	4	7	4	3	0	0	0	0	0	0	0	0	0	0
"2907836"	1	0	6	12	9	4	7	3	0	0	1	0	0	0	0	0	0	0
"4041669"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1
"3419754"	0	0	1	0	1	0	0	0	0	0	1	1	10	5	1	0	0	0
"4380056"	6	2	5	5	2	2	3	2	0	0	0	0	0	0	0	0	0	0
"3362504"	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"249265"	0	0	2	1	9	9	9	2	7	0	3	5	4	1	2	1	1	0
"3015026"	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
"1557336"	1	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"4376433"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
"3725987"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"4173596"	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0
"4023879"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
"4405258"	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"2023761"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0
"245245"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	3	0
"2725873"	6	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4409691"	0	1	11	9	9	10	0	0	0	0	0	0	0	0	0	0	0	0
"1811415"	0	0	0	0	0	0	0	0	2	1	1	2	2	0	1	4	0	1
"4381121"	15	5	12	23	3	14	6	8	6	8	4	1	23	19	15	17	8	12
"255827"	0	0	1	0	0	0	1	2	0	2	0	0	0	4	0	1	1	0
"2109570"	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
"4342361"	0	0	0	0	0	1	2	0	0	0	2	1	1	1	0	1	0	0
"4364593"	2	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
"3815513"	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	2	3	0
"4441040"	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	1	1	0
"1623433"	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0
"4399503"	1	1	0	3	0	3	0	0	0	0	0	0	5	0	0	0	0	0
"2477328"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
"4439203"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	7
"149262"	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1
"3831498"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"4375640"	0	0	0	0	0	0	0	0	3	0	2	2	4	3	0	0	1	2
"227491"	15	18	16	13	3	2	1	6	0	0	1	1	1	4	0	0	0	3
"3220985"	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
"4346661"	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1
"4390693"	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0
"4340844"	0	0	0	0	1	1	0	0	2	4	2	0	4	5	18	13	11	6
"139228"	0	0	0	0	0	0	0	0	3	1	0	1	1	1	2	4	2	1
"3173931"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0
"4362685"	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"4467386"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1
"1774931"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1
"3675508"	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"3285317"	1	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
"4137084"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4414970"	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	1
"4447730"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"4364660"	30	19	9	9	2	2	0	0	1	0	0	0	0	0	0	0	0	0
"656765"	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1858029"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	1	1
"3917574"	2	1	2	0	1	0	0	0	0	0	0	1	3	2	0	0	1	1
"1893427"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
"4244500"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
"4314734"	0	2	9	1	2	5	3	5	3	4	1	1	2	1	0	0	0	0
"237297"	0	0	0	0	0	1	1	2	7	1	3	1	1	4	1	0	2	1
"3797322"	7	4	5	9	6	1	1	5	0	0	1	2	0	0	0	0	0	0
"2735495"	0	0	0	0	2	2	1	0	0	0	2	1	2	0	3	2	0	0
"4434377"	9	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3004565"	0	0	0	0	0	0	0	1	3	0	2	0	8	8	10	5	6	3
"2537230"	0	0	0	0	0	0	0	0	5	4	2	2	0	0	0	1	0	0
"4385128"	0	0	0	0	1	0	1	1	0	1	4	0	0	1	0	0	0	0
"1880439"	0	0	0	1	1	0	0	0	1	0	0	0	3	0	0	0	0	0
"2878500"	0	0	0	0	0	0	1	1	1	0	2	2	1	0	0	0	0	0
"2850386"	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"4480257"	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4195019"	2	0	0	2	0	0	0	0	0	0	2	1	2	1	0	1	0	0
"4474418"	9	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4435080"	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
"4337108"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"4377086"	1	0	1	0	3	0	0	3	10	7	9	8	33	30	11	9	0	0
"256656"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
"1834858"	4	2	5	11	6	11	0	2	2	1	1	1	5	2	0	2	0	0
"238678"	2	0	10	9	3	4	1	0	0	0	0	0	0	0	0	0	0	0
"4452435"	0	0	4	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0
"4478195"	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
"1777291"	0	0	0	0	0	0	0	0	1	1	1	4	0	0	1	0	0	0
"3167422"	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
"4449992"	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1
"4334911"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4
"4350302"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
"2026030"	6	14	27	18	3	2	0	0	0	0	0	0	0	0	0	0	0	0
"3008829"	15	16	2	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"4382659"	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"103910"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"3410672"	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"2743528"	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	5	1
"343816"	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0
"4439984"	1	3	0	2	0	0	1	1	0	2	1	0	2	1	0	1	0	0
"4439980"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"4383176"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	5	5
"3461137"	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"4375254"	0	2	0	0	1	0	2	2	0	0	1	1	0	0	0	0	0	0
"4468635"	0	0	1	0	2	1	2	6	5	4	6	6	3	1	0	0	2	0
"3382113"	4	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"241958"	0	1	0	0	0	0	1	1	0	1	2	2	3	9	2	1	2	5
"3631937"	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
"4396729"	2	0	4	6	3	6	2	9	3	4	0	4	6	10	7	4	0	0
"200370"	0	0	0	0	0	0	0	0	1	0	0	1	4	0	1	1	0	0
"4104474"	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4383082"	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
"3495511"	0	0	3	6	9	11	0	0	0	0	0	0	0	0	0	0	0	0
"159189"	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	1	0
"159345"	0	0	0	0	2	0	16	18	10	12	17	14	14	20	6	13	4	1
"159346"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	2	1
"1694018"	0	0	0	0	0	1	10	8	4	8	8	5	10	1	1	2	0	1
"3022392"	0	1	4	5	1	2	2	2	5	2	9	2	4	6	0	7	0	1
"4383791"	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
"4454871"	0	4	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0
"1615254"	4	8	8	8	2	1	9	8	4	4	5	7	4	11	2	3	4	4
"3939747"	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
"4358755"	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"2626017"	0	0	0	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0
"3675511"	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"2404779"	0	0	0	0	1	0	1	1	5	3	9	13	13	19	15	12	4	6
"1733499"	0	1	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1
"1844236"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
"3659699"	1	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0
"4481040"	0	0	4	2	5	3	1	0	2	1	3	0	1	0	0	0	0	0
"4481041"	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"4443936"	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
"4351203"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4073314"	2	1	2	0	4	0	9	5	11	10	5	8	10	10	11	3	0	0
"4328274"	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0
"3229388"	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1029559"	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4469517"	0	0	0	0	0	0	0	0	6	5	13	6	0	0	0	0	0	0
"2485203"	7	12	4	1	0	1	3	2	1	0	2	0	1	1	1	0	0	0
"3272700"	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4326733"	13	9	18	12	6	9	2	3	6	0	3	2	19	14	8	14	5	2
"4390809"	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"252552"	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"254866"	1	1	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0
"3249874"	0	0	0	0	0	0	0	1	0	1	1	1	1	4	3	1	2	1
"4435147"	0	0	1	1	0	1	8	1	1	2	6	0	40	18	39	25	56	64
"4446168"	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0
"4357548"	0	0	10	4	10	5	0	0	1	2	1	0	0	0	0	0	0	0
"4435560"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4461885"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4461883"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1535697"	0	0	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
"3344719"	3	6	6	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1
"4397282"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4386466"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
"4477226"	0	0	0	0	0	2	1	3	1	1	0	0	0	0	0	0	0	0
"245486"	0	0	0	0	0	0	2	0	0	1	0	0	2	0	1	2	0	0
"4377746"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0
"4417074"	0	0	0	0	8	7	8	8	1	2	2	5	1	1	0	2	0	1
"4458203"	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3365408"	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
"2716666"	0	0	5	5	10	20	3	3	1	1	0	0	0	0	0	0	0	0
"4385684"	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
"1131894"	10	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4002408"	0	3	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
"4332266"	4	2	4	0	1	1	6	1	2	5	10	7	16	10	9	15	5	11
"3738319"	0	0	0	0	0	0	4	0	16	16	17	31	2	0	4	0	0	0
"4379019"	0	0	0	3	1	0	1	3	1	1	2	1	0	2	1	1	0	0
"3115207"	0	0	0	0	0	0	0	1	0	2	3	1	3	3	1	5	6	7
"3365319"	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"4353012"	0	2	2	5	1	0	0	0	0	0	0	0	1	1	0	0	0	0
"4400245"	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
"4458339"	1	1	37	43	23	20	31	21	6	12	11	11	6	1	0	0	0	0
"2877492"	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
"2654815"	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
"257276"	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
"3040339"	0	0	4	1	1	4	1	3	1	0	2	0	0	0	0	0	0	0
"2630849"	0	0	0	0	2	2	4	5	19	14	12	6	19	16	6	6	0	1
"4353300"	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"3666320"	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0
"3597335"	0	0	1	1	4	2	4	2	1	2	0	0	0	0	0	0	0	0
"2853112"	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	0	0
"1936082"	0	0	0	0	0	0	5	2	3	1	8	4	3	5	3	1	1	2
"4408304"	0	1	2	5	13	5	0	1	0	0	0	0	0	0	0	0	0	0
"3279467"	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4460919"	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
"4450561"	2	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"2317360"	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
"4206890"	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	17	32
"4002863"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	3	0	0
"4357533"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0
"2404426"	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
"4288025"	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4338345"	0	0	7	7	6	10	19	15	3	3	6	7	21	19	10	13	2	0
"4414281"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"251196"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2
"3242275"	0	1	0	1	1	0	0	0	2	1	2	0	9	6	11	3	11	6
"3253212"	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4324364"	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"4081648"	8	13	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2124721"	5	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1732154"	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"1598953"	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0
"4458786"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0
"4148176"	0	0	0	0	0	0	2	0	0	1	7	2	1	0	1	0	0	1
"3755898"	2	1	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"3619856"	0	0	1	0	0	0	3	2	3	2	0	0	2	3	1	0	0	0
"238053"	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4480783"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
"4438211"	1	1	4	12	18	13	17	12	11	8	17	9	17	15	4	13	9	12
"252562"	0	0	0	0	1	1	2	3	0	8	0	2	0	2	0	0	0	1
"4483052"	1	2	7	4	4	5	0	2	0	0	1	0	0	0	0	0	0	0
"2979076"	0	0	0	0	0	0	0	1	15	19	13	21	5	9	0	1	0	1
"4442473"	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	16	12
"4390491"	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
"4363440"	2	0	4	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0
"820861"	1	0	0	0	1	2	1	2	0	1	0	0	2	2	4	5	8	6
"4409415"	3	1	8	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0
"1818901"	0	0	5	4	2	1	1	0	0	0	1	0	0	0	0	0	0	0
"2906027"	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0
"4481520"	0	0	0	0	12	4	7	2	0	0	2	1	1	0	0	0	0	0
"2465968"	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
"3783749"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"3496239"	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	2	0
"4361930"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
