"GN01P"	"GN01P.o"	"GN02P"	"GN02P.o"	"GN03P"	"GN03P.o"	"GN04P"	"GN04P.o"	"GN05P"	"GN05P.o"	"GN06P"	"GN06P.o"	"GN07P"	"GN07P.o"	"GN08P"	"GN08P.o"	"GN09P"	"GN09P.o"
"3159253"	0	0	0	0	0	0	11	18	113	97	64	79	43	58	17	16	9	14
"4458243"	14	11	16	19	17	12	24	36	2	0	1	3	1	2	0	0	0	0
"4345229"	0	0	0	1	4	3	2	3	0	0	3	0	0	2	0	0	0	0
"3054729"	17	24	14	14	3	2	2	1	0	0	0	0	0	0	0	0	0	0
"4375516"	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"650924"	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"100167"	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0
"4326077"	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0
"4396197"	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"813020"	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2600252"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0
"2175243"	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
"4353189"	0	1	4	0	2	2	3	1	3	4	1	3	7	11	15	19	6	6
"4454539"	0	0	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	0
"4450673"	0	0	0	0	0	0	0	0	1	3	2	3	1	3	3	1	0	2
"3553018"	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3
"4334258"	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0
"4342133"	0	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0
"4388198"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1
"254296"	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"2397963"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
"4348732"	0	0	1	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0
"4395245"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"236814"	0	0	0	0	4	6	0	1	0	0	0	0	0	0	0	0	0	0
"4415681"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
"2719297"	0	0	0	0	1	0	0	0	6	4	3	1	8	6	4	3	8	9
"3420269"	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
"2799224"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"4470360"	1	0	5	1	2	2	1	1	7	7	0	4	3	7	0	1	0	1
"2140550"	0	0	0	0	0	0	1	0	2	6	1	2	0	3	1	1	3	0
"1852196"	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"2518948"	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2293453"	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	3
"4376643"	0	0	0	0	8	8	3	5	4	6	11	14	9	8	0	0	0	4
